s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 2.7115939E+000, 2.5473705E+001, 0.0000000E+000,-7.5388678E+000, 3.0265244E-001,-5.4427919E-002,-1.8731352E-003, 0.0000000E+000, 0.0000000E+000, 1.7921956E+001, 1.8181188E+001, 0.0000000E+000, 6.2265400E-004, 0.0000000E+000
 3.0054135E+000, 2.8506263E+001, 0.0000000E+000,-8.1120333E+000, 3.4406138E-001,-5.8299599E-002,-2.0827111E-003, 0.0000000E+000, 0.0000000E+000, 2.0480674E+001, 2.0677908E+001, 0.0000000E+000, 6.9449674E-004, 0.0000000E+000
 3.3218348E+000, 3.1633630E+001, 0.0000000E+000,-8.6624525E+000, 3.8550089E-001,-1.6162411E-001,-2.2972510E-003, 0.0000000E+000, 0.0000000E+000, 2.3016782E+001, 2.3192757E+001, 0.0000000E+000, 7.6723227E-004, 0.0000000E+000
 3.6177087E+000, 3.4932178E+001, 0.0000000E+000,-9.4863809E+000, 4.2211432E-001,-4.5759604E-001,-2.5183224E-003, 0.0000000E+000, 0.0000000E+000, 2.5229147E+001, 2.5407797E+001, 0.0000000E+000, 8.4169467E-004, 0.0000000E+000
 3.9163251E+000, 3.8030415E+001, 0.0000000E+000,-1.0214507E+001, 4.5743661E-001,-6.7861608E-001,-2.7289847E-003, 0.0000000E+000, 0.0000000E+000, 2.7442649E+001, 2.7591999E+001, 0.0000000E+000, 9.1365752E-004, 0.0000000E+000
 4.2055321E+000, 4.1088717E+001, 0.0000000E+000,-1.1030842E+001, 1.8181635E-001,-8.9641583E-001,-2.9299469E-003, 0.0000000E+000, 0.0000000E+000, 2.9221968E+001, 2.9340345E+001, 0.0000000E+000, 9.8509859E-004, 0.0000000E+000
 4.5140195E+000, 4.4176901E+001, 0.0000000E+000,-1.1779309E+001,-1.5730930E+000,-1.1252418E+000,-3.1313663E-003, 0.0000000E+000, 0.0000000E+000, 2.9613624E+001, 2.9696125E+001, 0.0000000E+000, 1.0568884E-003, 0.0000000E+000
 4.8032260E+000, 4.7403460E+001, 0.0000000E+000,-1.2670149E+001,-2.8298286E+000,-1.4635034E+000,-3.3294943E-003, 0.0000000E+000, 0.0000000E+000, 3.0355531E+001, 3.0436650E+001, 0.0000000E+000, 1.1292830E-003, 0.0000000E+000
 5.1117134E+000, 5.0384118E+001, 0.0000000E+000,-1.3477358E+001,-3.0036967E+000,-1.7043704E+000,-3.5328887E-003, 0.0000000E+000, 0.0000000E+000, 3.2119414E+001, 3.2195160E+001, 0.0000000E+000, 1.2020404E-003, 0.0000000E+000
 5.4009204E+000, 5.3572458E+001, 0.0000000E+000,-1.4311915E+001,-3.8990881E+000,-1.9012098E+000,-3.7288671E-003, 0.0000000E+000, 0.0000000E+000, 3.3427907E+001, 3.3456516E+001, 0.0000000E+000, 1.2734673E-003, 0.0000000E+000
 5.7152505E+000, 5.6867207E+001, 0.0000000E+000,-1.5303904E+001,-6.9007762E+000,-2.1325068E+000,-3.9285738E-003, 0.0000000E+000, 0.0000000E+000, 3.2485670E+001, 3.2526092E+001, 0.0000000E+000, 1.3464295E-003, 0.0000000E+000
 6.0113664E+000, 6.0184701E+001, 0.0000000E+000,-1.5704853E+001,-8.9784056E+000,-2.3669207E+000,-4.1236411E-003, 0.0000000E+000, 0.0000000E+000, 3.3016836E+001, 3.3130399E+001, 0.0000000E+000, 1.4210342E-003, 0.0000000E+000
 6.3095059E+000, 6.3068526E+001, 0.0000000E+000,-1.7135647E+001,-8.3175753E+000,-2.5225294E+000,-4.3311262E-003, 0.0000000E+000, 0.0000000E+000, 3.5020942E+001, 3.5088443E+001, 0.0000000E+000, 1.4926469E-003, 0.0000000E+000
 6.6068864E+000, 6.6154231E+001, 0.0000000E+000,-1.6962797E+001,-8.3623237E+000,-2.7110323E+000,-4.5288291E-003, 0.0000000E+000, 0.0000000E+000, 3.8002231E+001, 3.8113549E+001, 0.0000000E+000, 1.5645675E-003, 0.0000000E+000
 6.9130559E+000, 6.9079742E+001, 0.0000000E+000,-1.8207879E+001,-9.3597397E+000,-3.0104266E+000,-4.6866017E-003, 0.0000000E+000, 0.0000000E+000, 3.8526039E+001, 3.8497010E+001, 0.0000000E+000, 1.6371623E-003, 0.0000000E+000
 7.2031116E+000, 7.2765555E+001, 0.0000000E+000,-1.8824276E+001,-1.3473700E+001,-3.1523404E+000,-4.9002597E-003, 0.0000000E+000, 0.0000000E+000, 3.7260284E+001, 3.7310338E+001, 0.0000000E+000, 1.7095686E-003, 0.0000000E+000
