s,m,C
Time,"Vis_HeadHeight","Temp_Ceiling"
 1.2780801E+002, 6.9141033E-001, 2.6633201E+002
 1.2810420E+002, 8.2507007E-001, 3.5945637E+002
 1.2840126E+002, 8.2723340E-001, 2.6345244E+002
 1.2870104E+002, 3.8461434E-001, 3.0744999E+002
 1.2900087E+002, 9.1972265E-001, 3.9416016E+002
 1.2930099E+002, 9.2723359E-001, 3.2594961E+002
 1.2960273E+002, 4.4643089E-001, 5.0627714E+002
 1.2990157E+002, 1.1851884E+000, 4.4980373E+002
 1.3020420E+002, 1.6909428E+000, 3.8665614E+002
 1.3050396E+002, 3.8515646E-001, 4.6066321E+002
 1.3080745E+002, 5.6732326E-001, 3.5956395E+002
 1.3110034E+002, 1.5318756E+000, 3.7392229E+002
 1.3140550E+002, 8.1942136E-001, 3.1970225E+002
 1.3170398E+002, 1.4313256E+000, 5.4241719E+002
 1.3200227E+002, 6.9509461E-001, 4.2278391E+002
 1.3230773E+002, 4.7162351E-001, 3.6520906E+002
 1.3260291E+002, 1.1608702E+000, 4.2597904E+002
 1.3290019E+002, 9.2664013E-001, 2.4989079E+002
 1.3320501E+002, 6.4925194E-001, 3.6260860E+002
 1.3350392E+002, 1.4231794E+000, 3.9590165E+002
 1.3380591E+002, 4.3678161E-001, 3.1502376E+002
 1.3410443E+002, 6.3979060E-001, 3.7401318E+002
 1.3440499E+002, 4.0620718E-001, 4.1711841E+002
 1.3470199E+002, 8.0856790E-001, 3.5550648E+002
 1.3500136E+002, 6.3390201E-001, 4.8008587E+002
 1.3530724E+002, 5.4186900E-001, 4.3542820E+002
 1.3560309E+002, 5.1561794E-001, 5.1334768E+002
 1.3590383E+002, 1.4218304E+000, 5.6794846E+002
 1.3620573E+002, 1.4550078E+000, 3.4361648E+002
 1.3650458E+002, 4.9672107E-001, 3.3407821E+002
 1.3680240E+002, 1.8671994E+000, 2.8269138E+002
 1.3710280E+002, 1.2916161E+000, 2.8922926E+002
 1.3740359E+002, 1.0035858E+000, 3.2798835E+002
 1.3770550E+002, 5.4991920E-001, 3.5083076E+002
 1.3800164E+002, 5.7913801E-001, 4.5794058E+002
 1.3830485E+002, 5.9914582E-001, 3.7752492E+002
